fch_147L_147V,fch_147L_147WG,fch_147L_165L,fch_147L_165V,fch_147L_165WG,fch_147L_291L,fch_147L_291V,fch_147L_291WG,fch_147V_147WG,fch_147V_165L,fch_147V_165V,fch_147V_165WG,fch_147V_291L,fch_147V_291V,fch_147V_291WG,fch_147WG_165L,fch_147WG_165V,fch_147WG_165WG,fch_147WG_291L,fch_147WG_291V,fch_147WG_291WG,fch_165L_165V,fch_165L_165WG,fch_165L_291L,fch_165L_291V,fch_165L_291WG,fch_165V_165WG,fch_165V_291L,fch_165V_291V,fch_165V_291WG,fch_165WG_291L,fch_165WG_291V,fch_165WG_291WG,fch_291L_291V,fch_291L_291WG,fch_291V_291WG
,X447.3091_3.03_8447,,,X263.127_2.42_2465,,,X463.3034_2.63_3031,X864.5688_3.55_9342,,,X477.2091_2.38_6951,,,X455.3329_3.21_9071,X123.0553_0.3_4171,X369.1813_2.93_9633,X395.205_2.58_4511,X864.5688_3.55_9342,X463.3034_2.63_3031,X766.6305_4.8_9226,,X449.2135_2.6_8631,X258.1125_2.19_8597,X393.2991_3.16_2860,X848.5743_3.6_10208,X263.127_2.42_2465,,,X732.5512_3.71_9851,X566.3202_2.87_8042,X478.2913_2.85_6377,X806.5504_3.26_8078,,X764.6159_4.78_9837,X445.2936_2.97_4175
,X447.3086_3_2365,,,X449.2135_2.6_8631,,,X864.5688_3.55_9342,X463.3034_2.76_4008,,,X249.1119_2.35_9523,,,X142.9479_0.3_6723,X791.5394_4.11_9746,X449.3243_2.78_3090,X595.4317_3.87_9306,X463.3034_2.76_4008,X864.5688_3.55_9342,,,X322.1756_2.23_2104,X511.3592_3.32_10116,X732.5512_3.71_9851,X317.246_3.15_4787,X449.2135_2.6_8631,,,X848.5743_3.6_10208,X123.0553_0.3_4171,X526.2913_2.85_4038,X447.3091_3.03_8447,,X445.2936_2.97_4175,X806.5504_3.26_8078
,X445.3296_3.2_3195,,,X322.1756_2.23_2104,,,X449.3245_2.85_3249,X449.3245_2.85_3249,,,X427.2309_2.56_4479,,,X478.2913_2.85_6377,X263.127_2.42_2465,X463.3034_2.63_3031,X294.2406_2.73_9626,X449.3245_2.85_3249,X463.3034_2.76_4008,,,X395.2046_2.63_6321,,X419.3503_3.41_3241,X449.3243_2.78_3090,X322.1756_2.23_2104,,,X317.246_3.15_4787,X478.2913_2.85_6377,X272.2573_2.71_552,X447.3086_3_2365,,X806.5504_3.26_8078,X447.3091_3.03_8447
,X564.304_2.81_9730,,,X395.2046_2.63_6321,,,X764.6159_4.78_9837,X766.6305_4.8_9226,,,X265.1044_2.33_9783,,,X526.2913_2.85_4038,X449.3243_2.78_3090,X864.5688_3.55_9342,X773.5277_3.87_9322,X766.6305_4.8_9226,X449.3245_2.85_3249,,,X677.5479_4.09_9570,,X369.1813_2.93_9633,X463.3034_2.63_3031,X395.2046_2.63_6321,,,X449.3243_2.78_3090,X526.2913_2.85_4038,X395.3142_3.19_4506,X272.2573_2.71_552,,X447.3091_3.03_8447,X447.3086_3_2365
,X500.2758_2.81_7384,,,X677.5479_4.09_9570,,,X445.2936_2.97_4175,X445.2936_2.97_4175,,,X263.127_2.42_2465,,,X732.5512_3.71_9851,X463.3034_2.63_3031,X463.3034_2.76_4008,X764.6162_4.36_9228,X445.2936_2.97_4175,X766.6305_4.8_9226,,,X283.1148_2.23_9537,,X258.1125_2.19_8597,X864.5688_3.55_9342,X677.5479_4.09_9570,,,X463.3034_2.63_3031,X272.2573_2.71_552,X393.2991_3.16_2860,X274.1757_2.17_6453,,X447.3086_3_2365,X564.304_2.81_9730
,X258.1125_2.19_8597,,,X283.1148_2.23_9537,,,X806.5504_3.26_8078,X447.3091_3.03_8447,,,X449.2135_2.6_8631,,,X848.5743_3.6_10208,X864.5688_3.55_9342,X449.3245_2.85_3249,X245.2216_2.42_5149,X447.3091_3.03_8447,X445.2936_2.97_4175,,,X449.3243_2.78_3090,,X511.3592_3.32_10116,X449.3245_2.85_3249,X283.1148_2.23_9537,,,X864.5688_3.55_9342,X309.6628_3_9216,X421.3298_3.28_3222,X365.2672_3.09_7645,,X445.3296_3.2_3195,X500.2758_2.81_7384
,X511.3592_3.32_10116,,,X449.3243_2.78_3090,,,X447.3091_3.03_8447,X447.3086_3_2365,,,X322.1756_2.23_2104,,,X317.246_3.15_4787,X463.3034_2.76_4008,X766.6305_4.8_9226,X333.2043_2.63_3091,X447.3086_3_2365,X447.3091_3.03_8447,,,X463.3034_2.63_3031,,,X764.6159_4.78_9837,X449.3243_2.78_3090,,,X449.3245_2.85_3249,X421.3298_3.28_3222,X274.1757_2.17_6453,X445.3293_3.09_2249,,X348.1756_0.4_5032,X778.5329_3.62_8278
,,,,X463.3034_2.63_3031,,,X447.3086_3_2365,X564.304_2.81_9730,,,X395.2046_2.63_6321,,,X449.3243_2.78_3090,X449.3245_2.85_3249,X445.2936_2.97_4175,X463.3034_2.76_4008,,X447.3086_3_2365,,,X217.1908_2.2_5690,,,X445.2936_2.97_4175,X463.3034_2.63_3031,,,X764.6159_4.78_9837,X274.1757_2.17_6453,X365.2672_3.09_7645,X477.2091_2.38_6951,,X564.304_2.81_9730,
,,,,X217.1908_2.2_5690,,,X272.2573_2.71_552,X500.2758_2.81_7384,,,X677.5479_4.09_9570,,,X463.3034_2.63_3031,X766.6305_4.8_9226,X447.3091_3.03_8447,X522.7973_2.9_9130,,,,,X395.205_2.58_4511,,,X806.5504_3.26_8078,X217.1908_2.2_5690,,,X445.2936_2.97_4175,X365.2672_3.09_7645,X445.3293_3.09_2249,X249.1119_2.35_9523,,X500.2758_2.81_7384,
,,,,X395.205_2.58_4511,,,X445.3296_3.2_3195,X605.314_4.01_10145,,,X283.1148_2.23_9537,,,X864.5688_3.55_9342,X445.2936_2.97_4175,X447.3086_3_2365,X592.3225_2.55_8217,,,,,X595.4317_3.87_9306,,,X447.3091_3.03_8447,X395.205_2.58_4511,,,X806.5504_3.26_8078,X445.3293_3.09_2249,X477.2091_2.38_6951,X427.2309_2.56_4479,,,
